,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Mataura,-46.1927,168.8643,53.01,92,98,7.0
1,Puerto Carreño,6.189,-67.4859,74.25,91,100,2.48
2,Matara,5.9485,80.5353,78.75,84,88,2.39
3,Avarua,-21.2078,-159.775,78.8,69,90,5.75
4,East London,-33.0153,27.9116,64.35,52,6,8.68
5,Tasiilaq,65.6145,-37.6368,32.0,86,20,14.97
6,Nikolskoye,59.7035,30.7861,35.55,93,90,11.18
7,Ambilobe,-13.2,49.05,72.23,96,51,2.93
8,Zhuanghe,39.7008,122.9911,50.34,90,100,6.31
9,Opuwo,-18.0607,13.84,69.64,54,59,8.52
10,Tual,-5.6667,132.75,82.96,74,85,16.93
11,Barcarena,-1.5058,-48.6258,77.0,94,40,2.3
12,Sinnamary,5.3833,-52.95,77.29,88,100,8.46
13,Bambous Virieux,-20.3428,57.7575,77.0,94,75,1.14
14,Sitka,57.0531,-135.33,46.4,76,90,16.11
15,Lensk,60.7253,114.9278,44.64,69,96,4.85
16,Muridke,31.8025,74.2617,78.89,54,20,2.3
17,San Patricio,28.017,-97.5169,79.72,89,75,17.27
18,Ushuaia,-54.8,-68.3,37.4,81,75,26.46
